"","year","species","treatment","replicate","abundance"
"58",1995,"Amphinemura","medium",8,70
"59",1995,"Amphinemura","medium",9,43
"60",1995,"Amphinemura","medium",10,8
"61",1995,"Baetis","control",1,51
"62",1995,"Baetis","control",2,49
"63",1995,"Baetis","control",3,97
"64",1995,"Baetis","control",4,105
"65",1995,"Baetis","control",5,99
"66",1995,"Baetis","control",6,47
"67",1995,"Baetis","control",7,38
"68",1995,"Baetis","control",8,28
"69",1995,"Baetis","control",9,203
"70",1995,"Baetis","control",10,32
"71",1995,"Baetis","high",1,135
"72",1995,"Baetis","high",2,124
"73",1995,"Baetis","high",3,93
"74",1995,"Baetis","high",4,90
"75",1995,"Baetis","high",5,157
"76",1995,"Baetis","high",6,40
"77",1995,"Baetis","high",7,166
"78",1995,"Baetis","high",8,139
"79",1995,"Baetis","high",9,60
"80",1995,"Baetis","high",10,89
"81",1995,"Baetis","low",1,8
"82",1995,"Baetis","low",2,5
"83",1995,"Baetis","low",3,10
"84",1995,"Baetis","low",4,9
"85",1995,"Baetis","low",5,2
"86",1995,"Baetis","low",6,7
"87",1995,"Baetis","low",7,8
"88",1995,"Baetis","low",8,8
"89",1995,"Baetis","low",9,21
"90",1995,"Baetis","low",10,12
"91",1995,"Baetis","medium",1,91
"92",1995,"Baetis","medium",2,161
"93",1995,"Baetis","medium",3,56
"94",1995,"Baetis","medium",4,83
"95",1995,"Baetis","medium",5,305
"96",1995,"Baetis","medium",6,249
"97",1995,"Baetis","medium",7,253
"98",1995,"Baetis","medium",8,93
"99",1995,"Baetis","medium",9,88
"100",1995,"Baetis","medium",10,178
"101",1995,"Ceratopogonidae","control",1,4
"102",1995,"Ceratopogonidae","control",2,14
"103",1995,"Ceratopogonidae","control",3,3
"104",1995,"Ceratopogonidae","control",4,2
"105",1995,"Ceratopogonidae","control",5,13
"106",1995,"Ceratopogonidae","control",6,8
"107",1995,"Ceratopogonidae","control",7,4
"108",1995,"Ceratopogonidae","control",8,2
"109",1995,"Ceratopogonidae","control",9,10
"110",1995,"Ceratopogonidae","control",10,0
"111",1995,"Ceratopogonidae","high",1,0
"112",1995,"Ceratopogonidae","high",2,1
"113",1995,"Ceratopogonidae","high",3,2
"114",1995,"Ceratopogonidae","high",4,2
"115",1995,"Ceratopogonidae","high",5,10
"116",1995,"Ceratopogonidae","high",6,32
"117",1995,"Ceratopogonidae","high",7,10
"118",1995,"Ceratopogonidae","high",8,5
"119",1995,"Ceratopogonidae","high",9,8
"120",1995,"Ceratopogonidae","high",10,8
"121",1995,"Ceratopogonidae","low",1,6
"122",1995,"Ceratopogonidae","low",2,20
"123",1995,"Ceratopogonidae","low",3,0
"124",1995,"Ceratopogonidae","low",4,6
"125",1995,"Ceratopogonidae","low",5,2
"126",1995,"Ceratopogonidae","low",6,10
"127",1995,"Ceratopogonidae","low",7,2
"128",1995,"Ceratopogonidae","low",8,2
"129",1995,"Ceratopogonidae","low",9,10
"130",1995,"Ceratopogonidae","low",10,0
"131",1995,"Ceratopogonidae","medium",1,35
"132",1995,"Ceratopogonidae","medium",2,10
"133",1995,"Ceratopogonidae","medium",3,16
"134",1995,"Ceratopogonidae","medium",4,17
"135",1995,"Ceratopogonidae","medium",5,24
"136",1995,"Ceratopogonidae","medium",6,29
"137",1995,"Ceratopogonidae","medium",7,27
"138",1995,"Ceratopogonidae","medium",8,13
"139",1995,"Ceratopogonidae","medium",9,15
"140",1995,"Ceratopogonidae","medium",10,19
"141",1995,"Chelifera","control",1,0
"142",1995,"Chelifera","control",2,8
"143",1995,"Chelifera","control",3,0
"144",1995,"Chelifera","control",4,7
"145",1995,"Chelifera","control",5,2
"146",1995,"Chelifera","control",6,2
"147",1995,"Chelifera","control",7,2
"148",1995,"Chelifera","control",8,7
"149",1995,"Chelifera","control",9,7
"150",1995,"Chelifera","control",10,3
"151",1995,"Chelifera","high",1,0
"152",1995,"Chelifera","high",2,1
"153",1995,"Chelifera","high",3,0
"154",1995,"Chelifera","high",4,2
"155",1995,"Chelifera","high",5,2
"156",1995,"Chelifera","high",6,2
"157",1995,"Chelifera","high",7,1
"158",1995,"Chelifera","high",8,0
"159",1995,"Chelifera","high",9,1
"160",1995,"Chelifera","high",10,2
"161",1995,"Chelifera","low",1,5
"162",1995,"Chelifera","low",2,5
"163",1995,"Chelifera","low",3,1
"164",1995,"Chelifera","low",4,0
"165",1995,"Chelifera","low",5,2
"166",1995,"Chelifera","low",6,4
"167",1995,"Chelifera","low",7,0
"168",1995,"Chelifera","low",8,2
"169",1995,"Chelifera","low",9,3
"170",1995,"Chelifera","low",10,0
"171",1995,"Chelifera","medium",1,3
"172",1995,"Chelifera","medium",2,4
"173",1995,"Chelifera","medium",3,1
"174",1995,"Chelifera","medium",4,0
"175",1995,"Chelifera","medium",5,0
"176",1995,"Chelifera","medium",6,0
"177",1995,"Chelifera","medium",7,2
"178",1995,"Chelifera","medium",8,2
"179",1995,"Chelifera","medium",9,1
"180",1995,"Chelifera","medium",10,2
"181",1995,"Chironomidae","control",1,113
"182",1995,"Chironomidae","control",2,57
"183",1995,"Chironomidae","control",3,176
"184",1995,"Chironomidae","control",4,140
"185",1995,"Chironomidae","control",5,350
"186",1995,"Chironomidae","control",6,98
"187",1995,"Chironomidae","control",7,238
"188",1995,"Chironomidae","control",8,115
"189",1995,"Chironomidae","control",9,125
"190",1995,"Chironomidae","control",10,89
"191",1995,"Chironomidae","high",1,56
"192",1995,"Chironomidae","high",2,52
"193",1995,"Chironomidae","high",3,110
"194",1995,"Chironomidae","high",4,102
"195",1995,"Chironomidae","high",5,471
"196",1995,"Chironomidae","high",6,267
"197",1995,"Chironomidae","high",7,174
"198",1995,"Chironomidae","high",8,122
"199",1995,"Chironomidae","high",9,189
"200",1995,"Chironomidae","high",10,183
"201",1995,"Chironomidae","low",1,359
"202",1995,"Chironomidae","low",2,152
"203",1995,"Chironomidae","low",3,294
"204",1995,"Chironomidae","low",4,257
"205",1995,"Chironomidae","low",5,422
"206",1995,"Chironomidae","low",6,274
"207",1995,"Chironomidae","low",7,177
"208",1995,"Chironomidae","low",8,190
"209",1995,"Chironomidae","low",9,310
"210",1995,"Chironomidae","low",10,92
"211",1995,"Chironomidae","medium",1,531
"212",1995,"Chironomidae","medium",2,541
"213",1995,"Chironomidae","medium",3,255
"214",1995,"Chironomidae","medium",4,440
"215",1995,"Chironomidae","medium",5,362
"216",1995,"Chironomidae","medium",6,262
"217",1995,"Chironomidae","medium",7,272
"218",1995,"Chironomidae","medium",8,250
"219",1995,"Chironomidae","medium",9,230
"220",1995,"Chironomidae","medium",10,443
"221",1995,"Chloroperlidae","control",1,13
"222",1995,"Chloroperlidae","control",2,20
"223",1995,"Chloroperlidae","control",3,15
"224",1995,"Chloroperlidae","control",4,16
"225",1995,"Chloroperlidae","control",5,24
"226",1995,"Chloroperlidae","control",6,16
"227",1995,"Chloroperlidae","control",7,8
"228",1995,"Chloroperlidae","control",8,26
"229",1995,"Chloroperlidae","control",9,42
"230",1995,"Chloroperlidae","control",10,5
"231",1995,"Chloroperlidae","high",1,11
"232",1995,"Chloroperlidae","high",2,9
"233",1995,"Chloroperlidae","high",3,17
"234",1995,"Chloroperlidae","high",4,7
"235",1995,"Chloroperlidae","high",5,27
"236",1995,"Chloroperlidae","high",6,23
"237",1995,"Chloroperlidae","high",7,17
"238",1995,"Chloroperlidae","high",8,8
"239",1995,"Chloroperlidae","high",9,14
"240",1995,"Chloroperlidae","high",10,18
"241",1995,"Chloroperlidae","low",1,10
"242",1995,"Chloroperlidae","low",2,3
"243",1995,"Chloroperlidae","low",3,18
"244",1995,"Chloroperlidae","low",4,8
"245",1995,"Chloroperlidae","low",5,9
"246",1995,"Chloroperlidae","low",6,0
"247",1995,"Chloroperlidae","low",7,9
"248",1995,"Chloroperlidae","low",8,0
"249",1995,"Chloroperlidae","low",9,28
"250",1995,"Chloroperlidae","low",10,6
"251",1995,"Chloroperlidae","medium",1,27
"252",1995,"Chloroperlidae","medium",2,82
"253",1995,"Chloroperlidae","medium",3,36
"254",1995,"Chloroperlidae","medium",4,21
"255",1995,"Chloroperlidae","medium",5,92
"256",1995,"Chloroperlidae","medium",6,50
"257",1995,"Chloroperlidae","medium",7,38
"258",1995,"Chloroperlidae","medium",8,48
"259",1995,"Chloroperlidae","medium",9,46
"260",1995,"Chloroperlidae","medium",10,68
"261",1995,"Dicranota","control",1,14
"262",1995,"Dicranota","control",2,10
"263",1995,"Dicranota","control",3,15
"264",1995,"Dicranota","control",4,9
"265",1995,"Dicranota","control",5,8
"266",1995,"Dicranota","control",6,7
"267",1995,"Dicranota","control",7,13
"268",1995,"Dicranota","control",8,8
"269",1995,"Dicranota","control",9,13
"270",1995,"Dicranota","control",10,10
"271",1995,"Dicranota","high",1,13
"272",1995,"Dicranota","high",2,15
"273",1995,"Dicranota","high",3,20
"274",1995,"Dicranota","high",4,17
"275",1995,"Dicranota","high",5,30
"276",1995,"Dicranota","high",6,30
"277",1995,"Dicranota","high",7,10
"278",1995,"Dicranota","high",8,4
"279",1995,"Dicranota","high",9,14
"280",1995,"Dicranota","high",10,21
"281",1995,"Dicranota","low",1,4
"282",1995,"Dicranota","low",2,7
"283",1995,"Dicranota","low",3,6
"284",1995,"Dicranota","low",4,2
"285",1995,"Dicranota","low",5,8
"286",1995,"Dicranota","low",6,11
"287",1995,"Dicranota","low",7,6
"288",1995,"Dicranota","low",8,0
"289",1995,"Dicranota","low",9,8
"290",1995,"Dicranota","low",10,0
"291",1995,"Dicranota","medium",1,13
"292",1995,"Dicranota","medium",2,36
"293",1995,"Dicranota","medium",3,14
"294",1995,"Dicranota","medium",4,20
"295",1995,"Dicranota","medium",5,17
"296",1995,"Dicranota","medium",6,17
"297",1995,"Dicranota","medium",7,9
"298",1995,"Dicranota","medium",8,14
"299",1995,"Dicranota","medium",9,6
"300",1995,"Dicranota","medium",10,3
"301",1995,"Diptera","control",1,4
"302",1995,"Diptera","control",2,3
"303",1995,"Diptera","control",3,13
"304",1995,"Diptera","control",4,7
"305",1995,"Diptera","control",5,7
"306",1995,"Diptera","control",6,2
"307",1995,"Diptera","control",7,4
"308",1995,"Diptera","control",8,4
"309",1995,"Diptera","control",9,13
"310",1995,"Diptera","control",10,8
"311",1995,"Diptera","high",1,1
"312",1995,"Diptera","high",2,7
"313",1995,"Diptera","high",3,6
"314",1995,"Diptera","high",4,1
"315",1995,"Diptera","high",5,14
"316",1995,"Diptera","high",6,6
"317",1995,"Diptera","high",7,4
"318",1995,"Diptera","high",8,9
"319",1995,"Diptera","high",9,4
"320",1995,"Diptera","high",10,3
"321",1995,"Diptera","low",1,14
"322",1995,"Diptera","low",2,5
"323",1995,"Diptera","low",3,9
"324",1995,"Diptera","low",4,3
"325",1995,"Diptera","low",5,12
"326",1995,"Diptera","low",6,8
"327",1995,"Diptera","low",7,15
"328",1995,"Diptera","low",8,5
"329",1995,"Diptera","low",9,3
"330",1995,"Diptera","low",10,2
"331",1995,"Diptera","medium",1,14
"332",1995,"Diptera","medium",2,11
"333",1995,"Diptera","medium",3,3
"334",1995,"Diptera","medium",4,3
"335",1995,"Diptera","medium",5,23
"336",1995,"Diptera","medium",6,12
"337",1995,"Diptera","medium",7,12
"338",1995,"Diptera","medium",8,401
"339",1995,"Diptera","medium",9,10
"340",1995,"Diptera","medium",10,19
"341",1995,"Dixa","control",1,1
"342",1995,"Dixa","control",2,1
"343",1995,"Dixa","control",3,2
"344",1995,"Dixa","control",4,0
"345",1995,"Dixa","control",5,0
"346",1995,"Dixa","control",6,0
"347",1995,"Dixa","control",7,0
"348",1995,"Dixa","control",8,0
"349",1995,"Dixa","control",9,0
"350",1995,"Dixa","control",10,1
"351",1995,"Dixa","high",1,0
"352",1995,"Dixa","high",2,0
"353",1995,"Dixa","high",3,1
"354",1995,"Dixa","high",4,3
"355",1995,"Dixa","high",5,0
"356",1995,"Dixa","high",6,1
"357",1995,"Dixa","high",7,1
"358",1995,"Dixa","high",8,2
"359",1995,"Dixa","high",9,2
"360",1995,"Dixa","high",10,1
"361",1995,"Dixa","low",1,0
"362",1995,"Dixa","low",2,1
"363",1995,"Dixa","low",3,0
"364",1995,"Dixa","low",4,0
"365",1995,"Dixa","low",5,1
"366",1995,"Dixa","low",6,1
"367",1995,"Dixa","low",7,3
"368",1995,"Dixa","low",8,1
"369",1995,"Dixa","low",9,0
"370",1995,"Dixa","low",10,0
"371",1995,"Dixa","medium",1,0
"372",1995,"Dixa","medium",2,0
"373",1995,"Dixa","medium",3,0
"374",1995,"Dixa","medium",4,1
"375",1995,"Dixa","medium",5,1
"376",1995,"Dixa","medium",6,0
"377",1995,"Dixa","medium",7,0
"378",1995,"Dixa","medium",8,0
"379",1995,"Dixa","medium",9,0
"380",1995,"Dixa","medium",10,2
"381",1995,"Dolophilodes","control",1,19
"382",1995,"Dolophilodes","control",2,0
"383",1995,"Dolophilodes","control",3,93
"384",1995,"Dolophilodes","control",4,18
"385",1995,"Dolophilodes","control",5,7
"386",1995,"Dolophilodes","control",6,0
"387",1995,"Dolophilodes","control",7,16
"388",1995,"Dolophilodes","control",8,1
"389",1995,"Dolophilodes","control",9,53
"390",1995,"Dolophilodes","control",10,4
"391",1995,"Dolophilodes","high",1,18
"392",1995,"Dolophilodes","high",2,0
"393",1995,"Dolophilodes","high",3,18
"394",1995,"Dolophilodes","high",4,7
"395",1995,"Dolophilodes","high",5,54
"396",1995,"Dolophilodes","high",6,12
"397",1995,"Dolophilodes","high",7,30
"398",1995,"Dolophilodes","high",8,33
"399",1995,"Dolophilodes","high",9,3
"400",1995,"Dolophilodes","high",10,11
"401",1995,"Dolophilodes","medium",1,6
"402",1995,"Dolophilodes","medium",2,88
"403",1995,"Dolophilodes","medium",3,2
"404",1995,"Dolophilodes","medium",4,9
"405",1995,"Dolophilodes","medium",5,56
"406",1995,"Dolophilodes","medium",6,38
"407",1995,"Dolophilodes","medium",7,42
"408",1995,"Dolophilodes","medium",8,27
"409",1995,"Dolophilodes","medium",9,2
"410",1995,"Dolophilodes","medium",10,0
"411",1995,"Empididae","low",1,1
"412",1995,"Empididae","low",2,0
"413",1995,"Empididae","low",3,0
"414",1995,"Empididae","low",4,0
"415",1995,"Empididae","low",5,0
"416",1995,"Empididae","low",6,0
"417",1995,"Empididae","low",7,0
"418",1995,"Empididae","low",8,0
"419",1995,"Empididae","low",9,0
"420",1995,"Empididae","low",10,0
"421",1995,"Eurylophella","control",1,0
"422",1995,"Eurylophella","control",2,1
"423",1995,"Eurylophella","control",3,0
"424",1995,"Eurylophella","control",4,0
"425",1995,"Eurylophella","control",5,0
"426",1995,"Eurylophella","control",6,0
"427",1995,"Eurylophella","control",7,0
"428",1995,"Eurylophella","control",8,0
"429",1995,"Eurylophella","control",9,0
"430",1995,"Eurylophella","control",10,0
"431",1995,"Eurylophella","high",1,0
"432",1995,"Eurylophella","high",2,0
"433",1995,"Eurylophella","high",3,0
"434",1995,"Eurylophella","high",4,0
"435",1995,"Eurylophella","high",5,0
"436",1995,"Eurylophella","high",6,1
"437",1995,"Eurylophella","high",7,0
"438",1995,"Eurylophella","high",8,0
"439",1995,"Eurylophella","high",9,1
"440",1995,"Eurylophella","high",10,0
"441",1995,"Eurylophella","low",1,1
"442",1995,"Eurylophella","low",2,0
"443",1995,"Eurylophella","low",3,8
"444",1995,"Eurylophella","low",4,1
"445",1995,"Eurylophella","low",5,2
"446",1995,"Eurylophella","low",6,2
"447",1995,"Eurylophella","low",7,1
"448",1995,"Eurylophella","low",8,1
"449",1995,"Eurylophella","low",9,1
"450",1995,"Eurylophella","low",10,0
"451",1995,"Eurylophella","medium",1,0
"452",1995,"Eurylophella","medium",2,0
"453",1995,"Eurylophella","medium",3,0
"454",1995,"Eurylophella","medium",4,0
"455",1995,"Eurylophella","medium",5,0
"456",1995,"Eurylophella","medium",6,0
"457",1995,"Eurylophella","medium",7,0
"458",1995,"Eurylophella","medium",8,0
"459",1995,"Eurylophella","medium",9,0
"460",1995,"Eurylophella","medium",10,0
"461",1995,"Glossosoma","control",1,0
"462",1995,"Glossosoma","control",2,0
"463",1995,"Glossosoma","control",3,0
"464",1995,"Glossosoma","control",4,0
"465",1995,"Glossosoma","control",5,0
"466",1995,"Glossosoma","control",6,0
"467",1995,"Glossosoma","control",7,0
"468",1995,"Glossosoma","control",8,0
"469",1995,"Glossosoma","control",9,0
"470",1995,"Glossosoma","control",10,0
"471",1995,"Glossosoma","high",1,0
"472",1995,"Glossosoma","high",2,0
"473",1995,"Glossosoma","high",3,0
"474",1995,"Glossosoma","high",4,0
"475",1995,"Glossosoma","high",5,0
"476",1995,"Glossosoma","high",6,0
"477",1995,"Glossosoma","high",7,0
"478",1995,"Glossosoma","high",8,0
"479",1995,"Glossosoma","high",9,0
"480",1995,"Glossosoma","high",10,0
"481",1995,"Glossosoma","low",1,0
"482",1995,"Glossosoma","low",2,0
"483",1995,"Glossosoma","low",3,0
"484",1995,"Glossosoma","low",4,0
"485",1995,"Glossosoma","low",5,1
"486",1995,"Glossosoma","low",6,0
"487",1995,"Glossosoma","low",7,0
"488",1995,"Glossosoma","low",8,1
"489",1995,"Glossosoma","low",9,0
"490",1995,"Glossosoma","low",10,0
"491",1995,"Glossosoma","medium",1,0
"492",1995,"Glossosoma","medium",2,0
"493",1995,"Glossosoma","medium",3,0
"494",1995,"Glossosoma","medium",4,0
"495",1995,"Glossosoma","medium",5,0
"496",1995,"Glossosoma","medium",6,0
"497",1995,"Glossosoma","medium",7,0
"498",1995,"Glossosoma","medium",8,0
"499",1995,"Glossosoma","medium",9,1
"500",1995,"Glossosoma","medium",10,0
"501",1995,"Heptagenia","medium",1,0
"502",1995,"Heptagenia","medium",2,0
"503",1995,"Heptagenia","medium",3,0
"504",1995,"Heptagenia","medium",4,0
"505",1995,"Heptagenia","medium",5,0
"506",1995,"Heptagenia","medium",6,0
"507",1995,"Heptagenia","medium",7,0
"508",1995,"Heptagenia","medium",8,0
"509",1995,"Heptagenia","medium",9,0
"510",1995,"Heptagenia","medium",10,0
"511",1995,"Heptageniidae","control",1,0
"512",1995,"Heptageniidae","control",2,0
"513",1995,"Heptageniidae","control",3,0
"514",1995,"Heptageniidae","control",4,0
"515",1995,"Heptageniidae","control",5,0
"516",1995,"Heptageniidae","control",6,0
"517",1995,"Heptageniidae","control",7,0
"518",1995,"Heptageniidae","control",8,0
"519",1995,"Heptageniidae","control",9,0
"520",1995,"Heptageniidae","control",10,0
"521",1995,"Heptageniidae","high",1,0
"522",1995,"Heptageniidae","high",2,0
"523",1995,"Heptageniidae","high",3,0
"524",1995,"Heptageniidae","high",4,0
"525",1995,"Heptageniidae","high",5,0
"526",1995,"Heptageniidae","high",6,0
"527",1995,"Heptageniidae","high",7,0
"528",1995,"Heptageniidae","high",8,0
"529",1995,"Heptageniidae","high",9,0
"530",1995,"Heptageniidae","high",10,0
"531",1995,"Hesperophylax","control",1,0
"532",1995,"Hesperophylax","control",2,1
"533",1995,"Hesperophylax","control",3,0
"534",1995,"Hesperophylax","control",4,0
"535",1995,"Hesperophylax","control",5,0
"536",1995,"Hesperophylax","control",6,0
"537",1995,"Hesperophylax","control",7,0
"538",1995,"Hesperophylax","control",8,0
"539",1995,"Hesperophylax","control",9,0
"540",1995,"Hesperophylax","control",10,0
"541",1995,"Hesperophylax","high",1,0
"542",1995,"Hesperophylax","high",2,0
"543",1995,"Hesperophylax","high",3,0
"544",1995,"Hesperophylax","high",4,0
"545",1995,"Hesperophylax","high",5,0
"546",1995,"Hesperophylax","high",6,0
"547",1995,"Hesperophylax","high",7,0
"548",1995,"Hesperophylax","high",8,0
"549",1995,"Hesperophylax","high",9,0
"550",1995,"Hesperophylax","high",10,0
"551",1995,"Hesperophylax","medium",1,0
"552",1995,"Hesperophylax","medium",2,0
"553",1995,"Hesperophylax","medium",3,0
"554",1995,"Hesperophylax","medium",4,1
"555",1995,"Hesperophylax","medium",5,0
"556",1995,"Hesperophylax","medium",6,0
"557",1995,"Hesperophylax","medium",7,1
"558",1995,"Hesperophylax","medium",8,2
"559",1995,"Hesperophylax","medium",9,1
"560",1995,"Hesperophylax","medium",10,0
"561",1995,"Heterocloeon","control",1,14
"562",1995,"Heterocloeon","control",2,8
"563",1995,"Heterocloeon","control",3,22
"564",1995,"Heterocloeon","control",4,23
"565",1995,"Heterocloeon","control",5,16
"566",1995,"Heterocloeon","control",6,7
"567",1995,"Heterocloeon","control",7,8
"568",1995,"Heterocloeon","control",8,3
"569",1995,"Heterocloeon","control",9,33
"570",1995,"Heterocloeon","control",10,12
"571",1995,"Heterocloeon","high",1,4
"572",1995,"Heterocloeon","high",2,23
"573",1995,"Heterocloeon","high",3,6
"574",1995,"Heterocloeon","high",4,13
"575",1995,"Heterocloeon","high",5,22
"576",1995,"Heterocloeon","high",6,8
"577",1995,"Heterocloeon","high",7,50
"578",1995,"Heterocloeon","high",8,18
"579",1995,"Heterocloeon","high",9,3
"580",1995,"Heterocloeon","high",10,20
"581",1995,"Heterocloeon","medium",1,28
"582",1995,"Heterocloeon","medium",2,67
"583",1995,"Heterocloeon","medium",3,7
"584",1995,"Heterocloeon","medium",4,15
"585",1995,"Heterocloeon","medium",5,56
"586",1995,"Heterocloeon","medium",6,52
"587",1995,"Heterocloeon","medium",7,58
"588",1995,"Heterocloeon","medium",8,31
"589",1995,"Heterocloeon","medium",9,35
"590",1995,"Heterocloeon","medium",10,38
"591",1995,"Hydatophylax","high",1,0
"592",1995,"Hydatophylax","high",2,0
"593",1995,"Hydatophylax","high",3,0
"594",1995,"Hydatophylax","high",4,0
"595",1995,"Hydatophylax","high",5,0
"596",1995,"Hydatophylax","high",6,1
"597",1995,"Hydatophylax","high",7,0
"598",1995,"Hydatophylax","high",8,0
"599",1995,"Hydatophylax","high",9,1
"600",1995,"Hydatophylax","high",10,0
"601",1995,"Hydatophylax","medium",1,0
"602",1995,"Hydatophylax","medium",2,0
"603",1995,"Hydatophylax","medium",3,0
"604",1995,"Hydatophylax","medium",4,0
"605",1995,"Hydatophylax","medium",5,1
"606",1995,"Hydatophylax","medium",6,0
"607",1995,"Hydatophylax","medium",7,0
"608",1995,"Hydatophylax","medium",8,0
"609",1995,"Hydatophylax","medium",9,0
"610",1995,"Hydatophylax","medium",10,0
"611",1995,"Hydropsyche","control",1,0
"612",1995,"Hydropsyche","control",2,0
"613",1995,"Hydropsyche","control",3,1
"614",1995,"Hydropsyche","control",4,0
"615",1995,"Hydropsyche","control",5,0
"616",1995,"Hydropsyche","control",6,0
"617",1995,"Hydropsyche","control",7,0
"618",1995,"Hydropsyche","control",8,0
"619",1995,"Hydropsyche","control",9,0
"620",1995,"Hydropsyche","control",10,0
"621",1995,"Hydropsyche","high",1,0
"622",1995,"Hydropsyche","high",2,0
"623",1995,"Hydropsyche","high",3,0
"624",1995,"Hydropsyche","high",4,0
"625",1995,"Hydropsyche","high",5,3
"626",1995,"Hydropsyche","high",6,0
"627",1995,"Hydropsyche","high",7,0
"628",1995,"Hydropsyche","high",8,0
"629",1995,"Hydropsyche","high",9,1
"630",1995,"Hydropsyche","high",10,0
"631",1995,"Hydropsyche","medium",1,1
"632",1995,"Hydropsyche","medium",2,10
"633",1995,"Hydropsyche","medium",3,3
"634",1995,"Hydropsyche","medium",4,1
"635",1995,"Hydropsyche","medium",5,7
"636",1995,"Hydropsyche","medium",6,1
"637",1995,"Hydropsyche","medium",7,1
"638",1995,"Hydropsyche","medium",8,2
"639",1995,"Hydropsyche","medium",9,3
"640",1995,"Hydropsyche","medium",10,0
"641",1995,"Isogenoides","control",1,1
"642",1995,"Isogenoides","control",2,2
"643",1995,"Isogenoides","control",3,3
"644",1995,"Isogenoides","control",4,2
"645",1995,"Isogenoides","control",5,3
"646",1995,"Isogenoides","control",6,1
"647",1995,"Isogenoides","control",7,2
"648",1995,"Isogenoides","control",8,3
"649",1995,"Isogenoides","control",9,1
"650",1995,"Isogenoides","control",10,1
"651",1995,"Isogenoides","high",1,1
"652",1995,"Isogenoides","high",2,1
"653",1995,"Isogenoides","high",3,2
"654",1995,"Isogenoides","high",4,0
"655",1995,"Isogenoides","high",5,2
"656",1995,"Isogenoides","high",6,2
"657",1995,"Isogenoides","high",7,5
"658",1995,"Isogenoides","high",8,0
"659",1995,"Isogenoides","high",9,2
"660",1995,"Isogenoides","high",10,2
"661",1995,"Isogenoides","medium",1,1
"662",1995,"Isogenoides","medium",2,4
"663",1995,"Isogenoides","medium",3,0
"664",1995,"Isogenoides","medium",4,0
"665",1995,"Isogenoides","medium",5,0
"666",1995,"Isogenoides","medium",6,0
"667",1995,"Isogenoides","medium",7,0
"668",1995,"Isogenoides","medium",8,0
"669",1995,"Isogenoides","medium",9,2
"670",1995,"Isogenoides","medium",10,1
"671",1995,"Lepidostoma","control",1,1
"672",1995,"Lepidostoma","control",2,6
"673",1995,"Lepidostoma","control",3,4
"674",1995,"Lepidostoma","control",4,5
"675",1995,"Lepidostoma","control",5,16
"676",1995,"Lepidostoma","control",6,2
"677",1995,"Lepidostoma","control",7,9
"678",1995,"Lepidostoma","control",8,3
"679",1995,"Lepidostoma","control",9,0
"680",1995,"Lepidostoma","control",10,1
"681",1995,"Lepidostoma","high",1,1
"682",1995,"Lepidostoma","high",2,3
"683",1995,"Lepidostoma","high",3,5
"684",1995,"Lepidostoma","high",4,8
"685",1995,"Lepidostoma","high",5,5
"686",1995,"Lepidostoma","high",6,7
"687",1995,"Lepidostoma","high",7,2
